Cut Value: -1
Dataset | Avg Reach | Avg Time Taken
----------------------------------------
Breast Cancer | 357.00 | 0.06
Crop Mapping | 2223.40 | 56.40
Wine Quality Red | 18.00 | 0.06
Wine Quality White | 122.00 | 120.12
South German Credit | 162.60 | 120.04
Cluster 8 | 44.00 | 0.79
Two Cluster 8 | 22.00 | 1.96
Cluster | 45.00 | 1.51
Two Cluster | 29.00 | 1.58
Diffused Benchmark | 22.20 | 120.07
Prism | 180.00 | 0.07
Truncated Normal Prism | 180.00 | 0.24

Cut Value: 0
Dataset | Avg Reach | Avg Time Taken
----------------------------------------
Breast Cancer | 357.00 | 0.04
Crop Mapping | 2223.40 | 55.08
Wine Quality Red | 18.00 | 0.06
Wine Quality White | 124.20 | 120.06
South German Credit | 159.20 | 120.04
Cluster 8 | 44.00 | 0.47
Two Cluster 8 | 22.00 | 1.37
Cluster | 45.00 | 0.60
Two Cluster | 29.00 | 1.75
Diffused Benchmark | 24.00 | 109.47
Prism | 180.00 | 0.08
Truncated Normal Prism | 180.00 | 0.24

Cut Value: 1
Dataset | Avg Reach | Avg Time Taken
----------------------------------------
Breast Cancer | 357.00 | 0.04
Crop Mapping | 2223.40 | 56.19
Wine Quality Red | 18.00 | 0.06
Wine Quality White | 124.40 | 120.11
South German Credit | 179.80 | 120.04
Cluster 8 | 44.00 | 0.87
Two Cluster 8 | 22.00 | 1.77
Cluster | 45.00 | 1.35
Two Cluster | 29.00 | 2.03
Diffused Benchmark | 22.20 | 120.06
Prism | 180.00 | 0.07
Truncated Normal Prism | 180.00 | 0.24

Cut Value: 2
Dataset | Avg Reach | Avg Time Taken
----------------------------------------
Breast Cancer | 357.00 | 0.04
Crop Mapping | 2223.40 | 61.73
Wine Quality Red | 18.00 | 0.06
Wine Quality White | 123.80 | 120.06
South German Credit | 152.60 | 120.09
Cluster 8 | 44.00 | 1.00
Two Cluster 8 | 22.00 | 2.56
Cluster | 45.00 | 1.19
Two Cluster | 29.00 | 3.21
Diffused Benchmark | 22.40 | 120.03
Prism | 180.00 | 0.07
Truncated Normal Prism | 180.00 | 0.24

Cut Value: 3
Dataset | Avg Reach | Avg Time Taken
----------------------------------------
Breast Cancer | 357.00 | 0.04
Crop Mapping | 2223.40 | 68.28
Wine Quality Red | 18.00 | 0.09
Wine Quality White | 120.60 | 120.07
South German Credit | 160.60 | 120.06
Cluster 8 | 44.00 | 0.87
Two Cluster 8 | 22.00 | 2.80
Cluster | 45.00 | 2.05
Two Cluster | 29.00 | 3.84
Diffused Benchmark | 23.40 | 120.02
Prism | 180.00 | 0.07
Truncated Normal Prism | 180.00 | 0.37

