dataset,avg_gurobi_reach,avg_gurobi_nodes,avg_gurobi_time,avg_cplex_reach,avg_cplex_nodes,avg_cplex_time
Breast Cancer,357.0,1.0,0.024938344955444273,357.0,0.0,0.031167805194854698
Crop Mapping,2674.0,1.0,17.896201193332672,2674.0,0.0,16.990817725658417
Wine Quality Red,18.0,1.0,0.03743052482604978,18.0,0.0,0.2759336829185486
Wine Quality White,95.5,6751.25,120.01136338710785,96.0,15478.25,120.02472358942032
South German Credit,153.5,529503.0,120.00659996271133,193.25,304918.25,120.01013427972794
Cluster 8,42.0,7174.75,0.34505748748779297,42.0,0.0,0.27941870689392084
Two Cluster 8,25.0,13075.25,0.5533835291862488,25.0,10605.75,1.8000741004943848
Cluster,46.0,7248.5,0.5059844851493835,46.0,17364.75,2.3509987592697144
Two Cluster,27.0,34440.0,1.1683523058891296,27.0,25938.5,2.5005019903182983
Diffused Benchmark,28.0,1634870.0,317.025543987751,26.25,554177.75,120.1119476556778
Prism,180.0,0.0,0.035063445568084675,180.0,0.0,0.10950142145156858
Truncated Normal Prism,180.0,1.0,0.13981699943542475,180.0,0.0,0.3203613758087158
