dataset,gurobi_reach,gurobi_nodes,gurobi_time,cplex_reach,cplex_nodes,cplex_time
Breast Cancer,357.0,1.0,0.037462711334228516,357.0,0,0.06706881523132324
Breast Cancer,357.0,1.0,0.03698015213012695,357.0,0,0.08985018730163574
Breast Cancer,357.0,1.0,0.03477048873901367,357.0,0,0.06435751914978027
Breast Cancer,357.0,1.0,0.04783964157104492,357.0,0,0.0990605354309082
Breast Cancer,357.0,1.0,0.03143429756164551,357.0,0,0.09567117691040039
Breast Cancer,357.0,1.0,0.0306088924407959,357.0,0,0.07190299034118652
Breast Cancer,357.0,1.0,0.03127908706665039,357.0,0,0.07596278190612793
Breast Cancer,357.0,1.0,0.030443668365478516,357.0,0,0.09406518936157227
Breast Cancer,357.0,1.0,0.03112649917602539,357.0,0,0.06383347511291504
Breast Cancer,357.0,1.0,0.03190350532531738,357.0,0,0.09925198554992676
Wine Quality Red,18.0,1.0,0.0689387321472168,18.0,224,3.0346622467041016
Wine Quality Red,18.0,1.0,0.06378006935119629,18.0,224,2.925342321395874
Wine Quality Red,18.0,1.0,0.0580744743347168,18.0,224,3.1434268951416016
Wine Quality Red,18.0,1.0,0.09766721725463867,18.0,224,3.7693769931793213
Wine Quality Red,18.0,1.0,0.05779457092285156,18.0,224,2.9800517559051514
Wine Quality Red,18.0,1.0,0.060944557189941406,18.0,224,3.374187469482422
Wine Quality Red,18.0,1.0,0.06947588920593262,18.0,224,2.7622294425964355
Wine Quality Red,18.0,1.0,0.059842824935913086,18.0,224,2.5716049671173096
Wine Quality Red,18.0,1.0,0.07642245292663574,18.0,224,3.3140478134155273
Wine Quality Red,18.0,1.0,0.06566286087036133,18.0,224,2.7976937294006348
Wine Quality White,19.0,970.0,120.01091361045837,62.0,4651,120.06752061843872
Wine Quality White,19.0,970.0,120.00948572158813,62.0,4541,120.04763579368591
Wine Quality White,19.0,970.0,120.00702381134033,62.0,4939,120.22755813598633
Wine Quality White,19.0,972.0,120.00712585449219,62.0,5479,120.03263902664185
Wine Quality White,19.0,970.0,120.01725840568542,62.0,4667,120.088618516922
Wine Quality White,18.0,969.0,120.04589581489563,62.0,4667,120.06377720832825
Wine Quality White,18.0,969.0,120.00950145721436,62.0,5305,120.04686379432678
Wine Quality White,18.0,966.0,120.03391408920288,62.0,4541,120.04949450492859
Wine Quality White,19.0,970.0,120.02860069274902,62.0,4839,120.06889176368713
Wine Quality White,19.0,971.0,120.00542712211609,62.0,4873,120.07103133201599
South German Credit,40.0,73228.0,120.00556302070618,164.0,28014,120.01959466934204
South German Credit,40.0,73886.0,120.00469923019409,164.0,28902,120.01479625701904
South German Credit,40.0,73397.0,120.00583243370056,164.0,28834,120.02324366569519
South German Credit,40.0,75234.0,120.00686693191528,165.0,29303,120.02314162254333
South German Credit,40.0,89548.0,120.00306129455566,164.0,38578,120.01151132583618
South German Credit,40.0,94736.0,120.0032570362091,164.0,38884,120.01383805274963
South German Credit,40.0,86929.0,120.0096640586853,164.0,31836,120.01562833786011
South German Credit,40.0,95043.0,120.00443744659424,164.0,37739,120.01244044303894
South German Credit,40.0,99848.0,120.00394225120544,164.0,38680,120.0122640132904
South German Credit,40.0,97503.0,120.0036826133728,164.0,37992,120.01265907287598
Crop Mapping,2674.0,1.0,16.505558013916016,2674.0,0,47.063334465026855
Crop Mapping,2674.0,1.0,14.943368196487427,2674.0,0,50.015151500701904
Crop Mapping,2674.0,1.0,14.661596536636353,2674.0,0,48.5222692489624
Crop Mapping,2674.0,1.0,15.634248495101929,2674.0,0,50.29168367385864
Crop Mapping,2674.0,1.0,14.897288799285889,2674.0,0,47.77991008758545
Crop Mapping,2674.0,1.0,14.779248714447021,2674.0,0,51.88052845001221
Crop Mapping,2674.0,1.0,14.883123397827148,2674.0,0,47.22118520736694
Crop Mapping,2674.0,1.0,14.909072399139404,2674.0,0,48.185779094696045
Crop Mapping,2674.0,1.0,14.804173231124878,2674.0,0,44.034345865249634
Crop Mapping,2674.0,1.0,14.778428792953491,2674.0,0,45.79930257797241
Cluster,45.0,9285.0,5.790643692016602,45.0,3659,2.9865171909332275
Cluster,45.0,9285.0,5.293909788131714,45.0,3659,2.3831961154937744
Cluster,45.0,9285.0,6.134438991546631,45.0,3659,2.399258852005005
Cluster,45.0,9285.0,5.396052360534668,45.0,3659,2.3335392475128174
Cluster,45.0,9285.0,5.331672668457031,45.0,3659,2.336697578430176
Cluster,45.0,9285.0,5.275938272476196,45.0,3659,2.316863775253296
Cluster,45.0,9285.0,5.254534482955933,45.0,3659,2.280550241470337
Cluster,45.0,9285.0,5.2769834995269775,45.0,3659,2.5841453075408936
Cluster,45.0,9285.0,5.22917103767395,45.0,3659,2.3057732582092285
Cluster,45.0,9285.0,5.2983927726745605,45.0,3659,2.4201903343200684
Two Cluster,25.0,10400.0,6.749717950820923,25.0,5571,3.1476874351501465
Two Cluster,25.0,10400.0,6.651610612869263,25.0,5571,3.4090840816497803
Two Cluster,25.0,10400.0,6.6369428634643555,25.0,5571,3.1393470764160156
Two Cluster,25.0,10400.0,6.583499193191528,25.0,5571,3.076815128326416
Two Cluster,25.0,10400.0,6.89653754234314,25.0,5571,3.1480021476745605
Two Cluster,25.0,10400.0,6.644057750701904,25.0,5571,3.16601300239563
Two Cluster,25.0,10400.0,6.8580262660980225,25.0,5571,3.1495373249053955
Two Cluster,25.0,10400.0,6.660038471221924,25.0,5571,3.4596142768859863
Two Cluster,25.0,10400.0,6.630167245864868,25.0,5571,3.1168947219848633
Two Cluster,25.0,10400.0,6.655956983566284,25.0,5571,3.1742382049560547
Diffused Benchmark,16.0,211023.0,120.00371813774109,20.0,41552,120.01436400413513
Diffused Benchmark,16.0,212090.0,120.00341248512268,20.0,41568,120.01119351387024
Diffused Benchmark,16.0,210565.0,120.00791692733765,20.0,41631,120.01066660881042
Diffused Benchmark,16.0,211414.0,120.00534677505493,20.0,41444,120.0119059085846
Diffused Benchmark,16.0,210734.0,120.00512337684631,20.0,41331,120.01309657096863
Diffused Benchmark,16.0,206520.0,120.00451421737671,20.0,40339,120.01078677177429
Diffused Benchmark,16.0,206633.0,120.00327348709106,20.0,40533,120.01075458526611
Diffused Benchmark,16.0,205912.0,120.00245237350464,20.0,40376,120.0116970539093
Diffused Benchmark,16.0,209575.0,120.01516699790955,20.0,41875,120.01796340942383
Diffused Benchmark,16.0,212833.0,120.01231837272644,20.0,41552,120.00991606712341
Prism,10.0,1.0,0.17627215385437012,10.0,0,0.08374500274658203
Prism,10.0,1.0,0.16490960121154785,10.0,0,0.07862973213195801
Prism,10.0,1.0,0.16754651069641113,10.0,0,0.0817875862121582
