dataset,gurobi_reach,gurobi_nodes,gurobi_time,cplex_reach,cplex_nodes,cplex_time
Breast Cancer,357.0,1.0,0.02742791175842285,357.0,0,0.0339357852935791
Breast Cancer,357.0,1.0,0.024317264556884766,357.0,0,0.03066229820251465
Breast Cancer,357.0,1.0,0.023051977157592773,357.0,0,0.02908492088317871
Breast Cancer,357.0,1.0,0.024956226348876953,357.0,0,0.030988216400146484
Crop Mapping,2674.0,1.0,16.182384729385376,2674.0,0,15.811895847320557
Crop Mapping,2674.0,1.0,17.45106601715088,2674.0,0,16.292200088500977
Crop Mapping,2674.0,1.0,18.685275077819824,2674.0,0,19.13293480873108
Crop Mapping,2674.0,1.0,19.26607894897461,2674.0,0,16.726240158081055
Wine Quality Red,18.0,1.0,0.03846287727355957,18.0,0,0.23151206970214844
Wine Quality Red,18.0,1.0,0.03612112998962402,18.0,0,0.3392148017883301
Wine Quality Red,18.0,1.0,0.03763103485107422,18.0,0,0.30129384994506836
Wine Quality Red,18.0,1.0,0.037507057189941406,18.0,0,0.23171401023864746
Wine Quality White,72.0,8188.0,120.02031517028809,80.0,17489,120.03198909759521
Wine Quality White,103.0,5556.0,120.01128220558167,94.0,12558,120.02682113647461
Wine Quality White,87.0,5836.0,120.00370907783508,101.0,17380,120.01871919631958
Wine Quality White,120.0,7425.0,120.01014709472656,109.0,14486,120.02136492729187
South German Credit,168.0,588945.0,120.00200700759888,195.0,36418,120.01100993156433
South German Credit,156.0,479889.0,120.00282692909241,190.0,153702,120.01091289520264
South German Credit,132.0,533836.0,120.00212097167969,193.0,620123,120.00870203971863
South German Credit,158.0,515342.0,120.01944494247437,195.0,409430,120.00991225242615
Cluster 8,42.0,8106.0,0.3728210926055908,42.0,0,0.25424790382385254
Cluster 8,42.0,7831.0,0.40153002738952637,42.0,0,0.28820371627807617
Cluster 8,42.0,8075.0,0.3732869625091553,42.0,0,0.28020310401916504
Cluster 8,42.0,4687.0,0.23259186744689941,42.0,0,0.29502010345458984
Two Cluster 8,25.0,12554.0,0.5412161350250244,25.0,9644,1.5442891120910645
Two Cluster 8,25.0,13577.0,0.5931708812713623,25.0,9685,1.6972501277923584
Two Cluster 8,25.0,13523.0,0.5868871212005615,25.0,14106,2.1807701587677
Two Cluster 8,25.0,12647.0,0.4922599792480469,25.0,8988,1.777987003326416
Cluster,46.0,5981.0,0.45813703536987305,46.0,21170,2.3269920349121094
Cluster,46.0,6585.0,0.4967958927154541,46.0,21170,2.3350441455841064
Cluster,46.0,7347.0,0.5301928520202637,46.0,21170,2.3487517833709717
Cluster,46.0,9081.0,0.5388121604919434,46.0,5949,2.39320707321167
Two Cluster,27.0,41869.0,1.5283069610595703,27.0,17090,2.5015881061553955
Two Cluster,27.0,26690.0,0.9736001491546631,27.0,25436,2.1645867824554443
Two Cluster,27.0,36200.0,1.1687088012695312,27.0,24688,2.499545097351074
Two Cluster,27.0,33001.0,1.002793312072754,27.0,36540,2.8362879753112793
Diffused Benchmark,28.0,347002.0,120.00250387191772,28.0,421479,120.00778579711914
Diffused Benchmark,28.0,2707325.0,120.00168704986572,28.0,746679,120.01404190063477
Diffused Benchmark,28.0,3443565.0,120.00279498100281,28.0,642398,120.00906777381897
Diffused Benchmark,28.0,41588.0,908.0951900482178,21.0,406155,120.4168951511383
Prism,180.0,0.0,0.03432893753051758,180.0,0,0.10872197151184082
Prism,180.0,0.0,0.03648805618286133,180.0,0,0.10918474197387695
Prism,180.0,0.0,0.0335078239440918,180.0,0,0.11081385612487793
Prism,180.0,0.0,0.035928964614868164,180.0,0,0.10928511619567871
Truncated Normal Prism,180.0,1.0,0.14158916473388672,180.0,0,0.31566715240478516
Truncated Normal Prism,180.0,1.0,0.12851881980895996,180.0,0,0.3393881320953369
Truncated Normal Prism,180.0,1.0,0.12142801284790039,180.0,0,0.31497812271118164
Truncated Normal Prism,180.0,1.0,0.16773200035095215,180.0,0,0.31141209602355957
